genus	FT	CT	BT	FW	CW	BW
unclassified_f__Arcobacteraceae	44.5	8	0.333333333	0	1.333333333	0
unclassified_p__Patescibacteria	0	0	0	43.83333333	5.5	0.333333333
Alcanivorax	14.66666667	4	0	31	0	0
norank_c__OM190	0.5	9.166666667	0.833333333	31.66666667	7.333333333	0
norank_f__Micavibrionaceae	16.66666667	9.666666667	0	14.33333333	8.5	0
norank_f__Cellvibrionaceae	31	15.33333333	0.333333333	1.166666667	0.666666667	0
Jejudonia	0.5	18.5	0.666666667	8	19.83333333	0.5
norank_c__Parcubacteria	0	0	0	39	7.666666667	0
norank_f__Clade_II	0.5	0	0	41.83333333	4	0
Salegentibacter	1.666666667	0.166666667	8.5	7	12.5	16.16666667
Phaeobacter	0	9	31.83333333	0	4.666666667	0
unclassified_f__Sphingomonadaceae	11.66666667	3	0	20.16666667	10.16666667	0.5
Gilvibacter	0	7.666666667	0	0	36.83333333	0
norank_o__Saccharimonadales	1.333333333	0	0	38.33333333	1	0
norank_f__Terasakiellaceae	40	0	0	0	0	0
norank_o__Candidatus_Kerfeldbacteria	0.666666667	0	0	36.33333333	2.666666667	0
Membranicola	0	5.666666667	18.33333333	0	4.833333333	9.666666667
unclassified_f__Saprospiraceae	0	33.83333333	3.333333333	0.5	0.833333333	0
norank_p__WPS-2	2.333333333	11.16666667	10.33333333	2.5	12.16666667	0
Marinobacterium	22.16666667	2.333333333	6.333333333	0	5.666666667	1
Aestuariibacter	12.33333333	22.66666667	1.5	0	0.666666667	0
norank_o__Chloroplast	19.33333333	2.666666667	0	13.5	0.5	0
Maritalea	19	4	3.666666667	4.666666667	3.5	0.166666667
Legionella	0	8.333333333	0.333333333	1.333333333	24.33333333	0
OM60NOR5_clade	0	0	0	26.16666667	7.833333333	0
Celeribacter	28.5	0	0	0	5	0.333333333
Kordia	23.83333333	4.666666667	0.333333333	4.833333333	0	0
Ahrensia	5.5	12.5	6.5	0	8.666666667	0
Mesorhizobium	2.833333333	11.66666667	7.333333333	0.333333333	5.5	5
Bowmanella	25.16666667	1.166666667	4.5	0	0	1
Marinomonas	30.5	0.5	0	0	0	0
unclassified_o__Flavobacteriales	1.833333333	17.16666667	1.833333333	0.166666667	9.166666667	0
Thalassococcus	2.833333333	9	0	11	6.5	0
unclassified_o__Burkholderiales	0	22.16666667	0.666666667	6.166666667	0.333333333	0
Filomicrobium	0	13.16666667	1	15	0	0
unclassified_p__Proteobacteria	0	17.16666667	1.833333333	3.166666667	5.833333333	1
Gramella	10.5	0	0	17.66666667	0	0.5
norank_f__Mitochondria	0.333333333	1.333333333	0	26.16666667	0.833333333	0
Oceanospirillum	28	0.333333333	0	0	0	0
norank_o__Kordiimonadales	0	25.66666667	0	0	2.166666667	0.333333333
norank_o__Candidatus_Uhrbacteria	0	0	0	23.16666667	4.833333333	0
Arenimonas	8	15.33333333	1.166666667	0	3	0.333333333
Maribius	0	0	0	27.33333333	0	0
norank_f__DEV007	1	0.833333333	0	25.5	0	0
Ponticaulis	0	3.166666667	0	20.5	3.166666667	0
Serratia	26.66666667	0	0	0	0	0
Idiomarina	19.16666667	2.166666667	1.333333333	0	0.666666667	2.666666667
Aquabacterium	24.33333333	0	0	1.166666667	0	0
Mycoplasma	25.16666667	0	0	0	0	0
Cutibacterium	24.5	0	0	0	0	0
Aestuariicoccus	0	19.66666667	0	0	4.666666667	0
